mesh_code,type,num,distance
5439104543,"super",4,9914.289740661754
5439104543,"super",3,8915.43282811158
5439104543,"super",2,16707.710575638856
5439104543,"super",1,9890.019537765278
5439104543,"super",0,16208.197664759919
5439104543,"byoin",5,9480.143744602425
5439104543,"byoin",4,16785.71090710459
5439104543,"byoin",3,15725.755920383306
5439104543,"byoin",2,9044.639456357625
5439104543,"byoin",1,16363.155554578285
5439104543,"byoin",0,15502.223694143075
5439104543,"jido",1,17038.522201319156
5439104543,"jido",0,16048.73995579062
5439104543,"shiryokanto",2,9355.286597334913
5439104543,"shiryokanto",1,9416.837751860823
5439104543,"shiryokanto",0,16698.047902306385
5439104543,"toshokan",1,8371.743888874318
5439104543,"toshokan",0,16491.521856442978
5439104543,"sangyoshinko",2,16374.762653958753
5439104543,"sangyoshinko",1,3715.662313192866
5439104543,"sangyoshinko",0,6600.708350980301
5439104543,"sports",5,8278.666617225164
5439104543,"sports",4,15334.230863529423
5439104543,"sports",3,15334.230863529423
5439104543,"sports",2,17118.713966568142
5439104543,"sports",1,17118.713966568142
5439104543,"sports",0,15977.783625768843
5439104543,"bunka",1,8371.743888874318
5439104543,"bunka",0,15636.977297990383
5439104543,"shiminkatsudo",3,17830.168621784742
5439104543,"shiminkatsudo",2,13620.664132211288
5439104543,"shiminkatsudo",1,15977.783625768843
5439104543,"shiminkatsudo",0,16124.62694596975
5439104543,"kominkan",12,9397.511679964498
5439104543,"kominkan",11,11950.94229311663
5439104543,"kominkan",10,9272.82169162001
5439104543,"kominkan",9,14845.901916341452
5439104543,"kominkan",8,17830.391314883444
5439104543,"kominkan",7,18593.288817990455
5439104543,"kominkan",6,18793.59255669748
5439104543,"kominkan",5,14244.10398875849
5439104543,"kominkan",4,16355.816869814824
5439104543,"kominkan",3,16888.023756606497
5439104543,"kominkan",2,17501.386718525897
5439104543,"kominkan",1,8371.743888874318
5439104543,"kominkan",0,15636.977297990383
5439104631,"super",4,9734.188787379253
5439104631,"super",3,8775.77011650011
5439104631,"super",2,16526.95970553681
5439104631,"super",1,9803.989358134542
5439104631,"super",0,16049.547616598678
5439104631,"byoin",5,9370.662862985397
5439104631,"byoin",4,16657.571067916022
5439104631,"byoin",3,15516.310862539154
5439104631,"byoin",2,8869.24050309882
5439104631,"byoin",1,16277.14735786408
5439104631,"byoin",0,15300.57551364483
5439104631,"jido",1,16831.254515010838
5439104631,"jido",0,15894.268983229416
5439104631,"shiryokanto",2,9261.291184085641
5439104631,"shiryokanto",1,9279.874691170999
5439104631,"shiryokanto",0,16545.40506247216
5439104631,"toshokan",1,8323.322211407372
5439104631,"toshokan",0,16346.160621402858
5439104631,"sangyoshinko",2,16196.231960971298
5439104631,"sangyoshinko",1,3723.8610382991055
5439104631,"sangyoshinko",0,6399.050178977268
5439104631,"sports",5,8222.979965331326
5439104631,"sports",4,15092.790884740958
5439104631,"sports",3,15092.790884740958
5439104631,"sports",2,16995.806768440565
5439104631,"sports",1,16995.806768440565
5439104631,"sports",0,15862.216820518724
5439104631,"bunka",1,8323.322211407372
5439104631,"bunka",0,15436.823952246936
5439104631,"shiminkatsudo",3,17728.584419559364
5439104631,"shiminkatsudo",2,13491.818731685422
5439104631,"shiminkatsudo",1,15862.216820518724
5439104631,"shiminkatsudo",0,15947.185398761578
5439104631,"kominkan",12,9247.772539482034
5439104631,"kominkan",11,11810.00106776063
5439104631,"kominkan",10,9125.726588112128
5439104631,"kominkan",9,14613.931709485245
5439104631,"kominkan",8,17739.073218876212
5439104631,"kominkan",7,18397.176958983688
5439104631,"kominkan",6,18533.627332920827
5439104631,"kominkan",5,14109.866872322467
5439104631,"kominkan",4,16245.175948922686
5439104631,"kominkan",3,16675.206493371308
5439104631,"kominkan",2,17323.45253061524
5439104631,"kominkan",1,8323.322211407372
5439104631,"kominkan",0,15436.823952246936
5439104633,"super",4,9552.39348228789
5439104633,"super",3,8583.981245550971
5439104633,"super",2,16346.656120975742
5439104633,"super",1,9601.422294062377
5439104633,"super",0,15863.739227370457
5439104633,"byoin",5,9172.601543619121
5439104633,"byoin",4,16464.843518129892
5439104633,"byoin",3,15343.45991902604
5439104633,"byoin",2,8685.952684556942
5439104633,"byoin",1,16075.706166889035
5439104633,"byoin",0,15125.578834431884
5439104633,"jido",1,16657.969103682564
5439104633,"jido",0,15707.448568345852
5439104633,"shiryokanto",2,9060.093707801148
5439104633,"shiryokanto",1,9087.66705093925
5439104633,"shiryokanto",0,16358.230230823878
5439104633,"toshokan",1,8113.571422975507
5439104633,"toshokan",0,16157.268618557426
5439104633,"sangyoshinko",2,16015.327014697272
5439104633,"sangyoshinko",1,3502.6964108024986
5439104633,"sangyoshinko",0,6221.184977405166
5439104633,"sports",5,8014.413405522144
5439104633,"sports",4,14929.038335800822
5439104633,"sports",3,14929.038335800822
5439104633,"sports",2,16801.976588879388
5439104633,"sports",1,16801.976588879388
5439104633,"sports",0,15666.695052404111
5439104633,"bunka",1,8113.571422975507
5439104633,"bunka",0,15261.44484751808
5439104633,"shiminkatsudo",3,17530.364478364954
5439104633,"shiminkatsudo",2,13298.823817653
5439104633,"shiminkatsudo",1,15666.695052404111
5439104633,"shiminkatsudo",0,15765.975448825804
5439104633,"kominkan",12,9058.45870380521
5439104633,"kominkan",11,11619.383649570753
5439104633,"kominkan",10,8935.758713118494
5439104633,"kominkan",9,14447.318931199603
5439104633,"kominkan",8,17538.80722479396
5439104633,"kominkan",7,18221.054318775088
5439104633,"kominkan",6,18375.930554274546
5439104633,"kominkan",5,13918.160513747112
5439104633,"kominkan",4,16048.665644836765
5439104633,"kominkan",3,16503.42821225418
5439104633,"kominkan",2,17142.523761764958
5439104633,"kominkan",1,8113.571422975507
5439104633,"kominkan",0,15261.44484751808
5439105512,"super",4,9932.438878712712
5439105512,"super",3,8910.64816867566
5439105512,"super",2,16719.18627344962
5439105512,"super",1,9850.794907284524
5439105512,"super",0,16206.27315310421
5439105512,"byoin",5,9455.827237340767
5439105512,"byoin",4,16764.684201638134
5439105512,"byoin",3,15755.879183198786
5439105512,"byoin",2,9061.55117337543
5439105512,"byoin",1,16316.911834595974
5439105512,"byoin",0,15527.589362958077
5439105512,"jido",1,17066.437336414852
5439105512,"jido",0,16044.342448896867
5439105512,"shiryokanto",2,9321.867857065525
5439105512,"shiryokanto",1,9409.357555159915
5439105512,"shiryokanto",0,16692.10154568119
5439105512,"toshokan",1,8313.274764880362
5439105512,"toshokan",0,16481.225077560535
5439105512,"sangyoshinko",2,16385.06423457469
5439105512,"sangyoshinko",1,3649.7673748174343
5439105512,"sangyoshinko",0,6640.923581444864
5439105512,"sports",5,8224.752907336622
5439105512,"sports",4,15384.97224934213
5439105512,"sports",3,15384.97224934213
5439105512,"sports",2,17094.295486501054
5439105512,"sports",1,17094.295486501054
5439105512,"sports",0,15949.632685816874
5439105512,"bunka",1,8313.274764880362
5439105512,"bunka",0,15661.307857256481
5439105512,"shiminkatsudo",3,17792.417174031172
5439105512,"shiminkatsudo",2,13602.489152438988
5439105512,"shiminkatsudo",1,15949.632685816874
5439105512,"shiminkatsudo",0,16134.413684829053
5439105512,"kominkan",12,9397.891449912091
5439105512,"kominkan",11,11941.955864147783
5439105512,"kominkan",10,9271.829975500876
5439105512,"kominkan",9,14890.950478867357
5439105512,"kominkan",8,17786.45706411348
5439105512,"kominkan",7,18613.338959293764
5439105512,"kominkan",6,18854.2894118467
5439105512,"kominkan",5,14228.659717918843
5439105512,"kominkan",4,16324.425873010136
5439105512,"kominkan",3,16919.53519217827
5439105512,"kominkan",2,17510.637769451998
5439105512,"kominkan",1,8313.274764880362
5439105512,"kominkan",0,15661.307857256481
5439105611,"super",4,9372.810720280959
5439105611,"super",3,8394.218044664945
5439105611,"super",2,16167.668514487945
5439105611,"super",1,9400.21183177426
5439105611,"super",0,15679.159271552942
5439105611,"byoin",5,8976.16205922882
5439105611,"byoin",4,16273.13860030479
5439105611,"byoin",3,15172.184793678209
5439105611,"byoin",2,8505.03913241065
5439105611,"byoin",1,15875.096883026265
5439105611,"byoin",0,14952.13124293738
5439105611,"jido",1,16486.124782427556
5439105611,"jido",0,15521.844740912518
5439105611,"shiryokanto",2,8860.397918646062
5439105611,"shiryokanto",1,8897.352429977493
5439105611,"shiryokanto",0,16172.214860412038
5439105611,"toshokan",1,7905.05910840678
5439105611,"toshokan",0,15969.510354240805
5439105611,"sangyoshinko",2,15835.751913320502
5439105611,"sangyoshinko",1,3283.01583305734
5439105611,"sangyoshinko",0,6046.9836720188405
5439105611,"sports",5,7807.164315263666
5439105611,"sports",4,14767.112248952293
5439105611,"sports",3,14767.112248952293
5439105611,"sports",2,16609.12268897335
5439105611,"sports",1,16609.12268897335
5439105611,"sports",0,15472.178738236198
5439105611,"bunka",1,7905.05910840678
5439105611,"bunka",0,15087.592039486697
5439105611,"shiminkatsudo",3,17332.980747066973
5439105611,"shiminkatsudo",2,13107.090708457283
5439105611,"shiminkatsudo",1,15472.178738236198
